Para analizar los resultados pueden hacer una copia (Archivo > Crear una copia) o bajar los csv de cada país (Archivo > Descargar como),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recuerden calificar empresas en www.openqube.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Gente a cargo?,¿Cuánta?,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especialización,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a julio 2017,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2017?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,31 - 33,Chaco,6,Menos de un año,No,0,Terciario,Incompleto,Tecnicatura Superior en Programación,"Sí, de forma particular, Sí, los pagó un empleador",Developer,,"CSS, HTML, Java, Javascript, jQuery, NodeJS, Python",,,,,No,0,Porcentaje de mi sueldo,Full-Time,17220,Bruto,1,1,No,No recibo bono,Uno,7,5001-10000,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Masajes, WFH (Trabajar desde casa)"
Mujer,41 - 45,Chaco,9,2,No,0,Universitario,Completado,Ingeniería en Sistemas de Información,"Sí, de forma particular, Sí, los pagó un empleador",Infosec,,,,,,,No,9,Porcentaje de mi sueldo,Full-Time,32000,Neto,3,1,No,No recibo bono,Uno,10,5001-10000,No,No cambié de empresa,"Capacitaciones y/o cursos, Cuota para universidad, Horarios flexibles, Viáticos"
Hombre,41 - 45,Chaco,10+,5,No,0,Universitario,Incompleto,Ingenieria en Sistemas de Informacion,"Sí, de forma particular, Sí, los pagó un empleador",SysAdmin / DevOps,"*BSD, Linux, Windows, VMWare","Java, PHP",,,,,No,0,Porcentaje de mi sueldo,Full-Time,34000,Neto,4,3,Menos de un sueldo,trimestralmente un ticket para compras,No,0,201-500,No,No cambié de empresa,"Capacitaciones y/o cursos, Viáticos"
Hombre,37 - 40,Chaco,10+,10+,No,0,Terciario,Incompleto,Bachillerato,"Sí, los pagó un empleador",Consultor SAP,,,,,,,,,,Full-Time,26600,Neto,2,3,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Chaco,6,2,Sí,10,Universitario,Completado,Licenciado en informatica,No,Developer,,Python,,,,,"Sí, pasiva",2500,Porcentaje de mi sueldo,Freelance,40000,Neto,2,1,No,No recibo bono,Más de dos,0,1001-2000,No,No cambié de empresa,"Abono de celular y/o Internet, Horarios flexibles, Laptop"
Hombre,34 - 36,Chaco,6,6,No,0,Secundario,Completado,,"Sí, de forma particular",HelpDesk,,,,,,,No,0,Bruto,Full-Time,18000,Bruto,1,1,No,No recibo bono,No,0,11-50,No,No ahi trabajo,No ahi empleo en mi pais
Hombre,27 - 30,Chaco,1,Menos de un año,Sí,2,Terciario,Incompleto,Marketing digital - excel ,"Sí, de forma particular",Venta,,,,,,,,,,Part-Time,10000,Bruto,2,2,Menos de un sueldo,Mix de las anteriores,Uno,0,1-10,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,27 - 30,Chaco,3,3,No,0,Universitario,Completado,,No,Developer,,"CSS, HTML, Java, Javascript",,,,,No,0,Porcentaje de mi sueldo,Full-Time,18000,Bruto,1,1,No,No recibo bono,No,0,2001-5000,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Viajes al exterior"
Hombre,31 - 33,Chaco,7,5,Sí,4,Terciario,Completado,Analista,"Sí, de forma particular",SysAdmin / DevOps,"Linux, Windows",".NET, C#",,,,,No,0,Porcentaje de mi sueldo,Full-Time,16000,Neto,1,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Abono de celular y/o Internet
Mujer,34 - 36,Chaco,8,7,Sí,25,Secundario,En curso,Police ,"Sí, de forma particular",Police ,,,,,,,,,,Full-Time,12,Neto,1,1,No,No recibo bono,Más de dos,20,2001-5000,No,No cambié de empresa,"Aumento por inflación, Ninguna de las anteriores"
Hombre,31 - 33,Chaco,3,3,No,0,Secundario,Completado,,No,Limpieza ,,,,,,,,,,Part-Time,7000,Bruto,1,1,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Moto
Hombre,31 - 33,Chaco,10+,Menos de un año,Sí,2,Terciario,Completado,Analista en sistema,No,SysAdmin / DevOps,Windows,.NET,,,,,No,0,Neto,Full-Time,16000,Neto,2,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Mujer,27 - 30,Chaco,6,2,No,0,Terciario,Completado,Auxiliar en enfermeria,No,Analista,,,,,,,,,,Part-Time,9500,Neto,1,1,No,No recibo bono,No,0,1001-2000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,31 - 33,Chaco,8,2,No,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,"Sí, de forma particular","SysAdmin, Servidores, Redes, DBA, Storage.",,,,,,,,,,Full-Time,23500,Neto,2,2,No,No recibo bono,Dos,20,201-500,No,No cambié de empresa,Ninguno.
Hombre,18 - 20,Chaco,Menos de un año,Menos de un año,No,0,Universitario,En curso,Lic en sistemas,"Sí, de forma particular, Sí, los pagó un empleador",Developer,,".NET,  React",,,,,No,0,Bruto,Full-Time,15000,Bruto,3,2,No,Performance individual,No,0,51-100,No,No cambié de empresa,"Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Laptop, Snacks, golosinas, bebidas, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,21 - 23,Chaco,1,1,No,1,Secundario,Incompleto,,"Sí, de forma particular",Municipio,,,,,,,,,,Full-Time,5000,Neto,1,1,Un sueldo,No recibo bono,Uno,2,11-50,No,Mejores beneficios,Comidas pagas/subvencionadas
Hombre,37 - 40,Chaco,8,3,Sí,2,Secundario,Completado,Técnico en computación,"Sí, de forma particular",Sereno,,,,,,,,,,Part-Time,7000,Bruto,1,1,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguno
Hombre,37 - 40,Chaco,6,6,No,0,Terciario,En curso,Matemáticas,"Sí, de forma particular",HelpDesk,,,,,,,No,0,Neto,Part-Time,13000,Neto,3,2,Menos de un sueldo,Performance individual,Uno,6,1001-2000,No,No cambié de empresa,"Bonos por desempeño, Horarios flexibles"
Mujer,41 - 45,Chaco,10+,5,Sí,10,Universitario,Completado,,"Sí, de forma particular",Docente,,,,,,,,,,Part-Time,15000,Neto,1,1,No,No recibo bono,Uno,6,11-50,No,No cambié de empresa,"Horarios flexibles, Viajes al exterior, Viáticos, WFH (Trabajar desde casa)"
Hombre,24 - 26,Chaco,4,2,No,0,Universitario,Completado,TSP,"Sí, de forma particular",Developer,,"CSS, HTML, Javascript, NodeJS",,,,,No,0,Neto,Freelance,24000,Bruto,3,2,No,No recibo bono,No,0,11-50,Sí,Salario,"Capacitaciones y/o cursos, WFH (Trabajar desde casa)"
Hombre,18 - 20,Chaco,Menos de un año,Menos de un año,No,0,Universitario,En curso,Ingeniería en Sistemas de Información,"Sí, de forma particular",Developer,,"Java, Javascript",,,,,No,0,Bruto,Full-Time,22000,Bruto,3,4,No,No recibo bono,No,0,51-100,No,No cambié de empresa,"Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Masajes, Playroom, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,24 - 26,Chaco,3,1,No,0,Universitario,En curso,Ingeniería en Sistemas,No,Analista de Procesos,,,,,,,,,,Full-Time,30000,Bruto,3,3,No,No recibo bono,Más de dos,26,2001-5000,No,No cambié de empresa,"Aumento por inflación, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Chaco,2,10+,No,0,Terciario,Completado,Profesor de Informática ,"Sí, de forma particular",Gerente Administrativo ,,,,,,,,,,Part-Time,18000,Neto,1,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Chaco,1,1,No,0,Universitario,En curso,Ingeniería en sistemas de información,No,HelpDesk,,,,,,,No,0,Porcentaje de mi sueldo,Part-Time,4700,Neto,2,1,No,No recibo bono,Dos,10,1-10,No,No cambié de empresa,Nada
Hombre,24 - 26,Chaco,4,4,No,0,Universitario,Completado,desarrollador de software,"Sí, de forma particular",Developer,,".NET, C#, CSS, HTML, Javascript, jQuery",,,,,No,0,Bruto,Full-Time,18700,Neto,1,3,No,No recibo bono,Dos,10,5001-10000,No,No cambié de empresa,"Aumento por inflación, Descuentos en gimnasios, Horarios flexibles, Masajes, Playroom, WFH (Trabajar desde casa)"
Hombre,24 - 26,Chaco,4,Menos de un año,No,0,Universitario,Completado,TSP,"Sí, de forma particular",Developer,,"CSS, HTML, Javascript, NodeJS",,,,,No,0,Porcentaje de mi sueldo,Freelance,24000,Bruto,3,2,No,No recibo bono,No,0,11-50,Sí,Salario,Capacitaciones y/o cursos
Hombre,27 - 30,Chaco,5,2,No,0,Universitario,Incompleto,Ingeniería en Sistemas,"Sí, de forma particular",Developer,,"Java, Javascript, NodeJS",,,,,No,0,Porcentaje de mi sueldo,Remoto (empresa de otro país),140000,Neto,4,3,Menos de un sueldo,Performance individual,No,0,11-50,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Horarios flexibles, Masajes, Snacks, golosinas, bebidas, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,27 - 30,Chaco,10+,5,No,0,Terciario,Completado,CCNA CISCO,"Sí, de forma particular",HelpDesk,,,,,,,"Sí, activa",0,Bruto,Full-Time,17300,Neto,2,1,No,No recibo bono,Dos,20,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Chaco,9,3,Sí,2,Universitario,Incompleto,Ingenieria en Sistemas de Informacion,"Sí, de forma particular",Architect,,,,,,,,,,Full-Time,49000,Bruto,4,4,De uno a tres sueldos,Mix de las anteriores,Uno,25,1-10,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, Viáticos, WFH (Trabajar desde casa)"
Hombre,27 - 30,Chaco,5,2,No,0,Universitario,En curso,Diseño Gráfico ,"Sí, de forma particular",Designer,,,,,,,,,,Part-Time,10000,Neto,2,2,Menos de un sueldo,Mix de las anteriores,No,0,1-10,No,No cambié de empresa,"Capacitaciones y/o cursos, Horarios flexibles"
Hombre,24 - 26,Chaco,1,1,No,0,Universitario,En curso,INGENIERIA EN SISTEMAS,"Sí, de forma particular",SysAdmin / DevOps,"Linux, Windows",.NET,,,,,No,0,Neto,Full-Time,20484,Bruto,2,2,Menos de un sueldo,Mi chota,Más de dos,20,51-100,No,No cambié de empresa,Aumento por inflación
Hombre,27 - 30,Chaco,1,1,No,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,No,Developer,,"CSS, HTML, Javascript, jQuery",,,,,No,0,Porcentaje de mi sueldo,Full-Time,17000,Bruto,1,1,No,No recibo bono,No,0,5001-10000,No,No cambié de empresa,"Clases de idiomas, Descuentos en gimnasios, Masajes, Playroom, Snacks, golosinas, bebidas, Viajes al exterior"
Hombre,27 - 30,Chaco,3,2,No,0,Universitario,Completado,Licenciatura en Sistemas de Informacion,"Sí, de forma particular",Developer,,"CSS, HTML, Java, PHP",,,,,No,0,Porcentaje de mi sueldo,Part-Time,20000,Neto,1,1,Menos de un sueldo,Performance individual,Más de dos,40,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Chaco,4,Menos de un año,No,0,Universitario,En curso,Tecnicatura superior en programación ,"Sí, de forma particular",QA / Tester,,,".NET, CSS, HTML",Mix,Selenium,,,,,Freelance,42000,Bruto,3,3,No,No recibo bono,No,0,11-50,Sí,Mal proyecto. ,WFH (Trabajar desde casa)
Hombre,31 - 33,Chaco,4,2,Sí,2,Universitario,En curso,Lic en sistemas,"Sí, de forma particular",Business Analyst,,,,,,,,,,Full-Time,20000,Bruto,2,3,No,No recibo bono,Dos,17,2001-5000,No,No cambié de empresa,"Aumento por inflación, Clases de idiomas, Descuentos en gimnasios, Masajes, Playroom, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,24 - 26,Chubut,4,3,No,0,Terciario,Completado,Tec Analista de sistemas,No,Networking,,,,,,,No,0,Porcentaje de mi sueldo,Part-Time,10500,Bruto,2,2,No,No recibo bono,Uno,22,11-50,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos"
Hombre,31 - 33,Chubut,10+,5,No,0,Posgrado,En curso,Maestría en redes de datos,"Sí, de forma particular, Sí, los pagó un empleador",SysAdmin / DevOps,"Linux, Windows, Docker / Containers, VMWare","Python, Shell script, power shell script",,,,,"Sí, pasiva",0,Neto,Part-Time,65000,Neto,4,1,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Capacitaciones y/o cursos
Hombre,37 - 40,Chubut,10+,7,No,0,Universitario,Incompleto,Ing. Sistema Inf.,"Sí, de forma particular, Sí, los pagó un empleador",HelpDesk,,,,,,,No,0,Neto,Full-Time,20000,Neto,3,2,No,No recibo bono,Dos,5,51-100,No,No cambié de empresa,Aumento por inflación
Hombre,31 - 33,Chubut,9,5,Sí,0,Universitario,Completado,Licenciatura Informática,"Sí, de forma particular",Developer,,"HTML, Java, Javascript, jQuery",,,,,No,0,Porcentaje de mi sueldo,Full-Time,38000,Neto,2,1,No,No recibo bono,Uno,14,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Chubut,3,2,No,0,Terciario,Completado,"Tecnicatura superior en produccion multimedial, tecnico en informatica profesional y personal(escuela)","Sí, de forma particular",Asistente tecnico,,,,,,,,,,Part-Time,6000,Neto,3,3,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Horarios flexibles
Hombre,37 - 40,Chubut,5,5,No,0,Terciario,Completado,Tecnico Superior en electrónica,"Sí, de forma particular",Docente,,,,,,,,,,Part-Time,30000,Neto,2,2,No,No recibo bono,No,0,10001+,No,No cambié de empresa,Horarios flexibles
Hombre,27 - 30,Chubut,5,4,No,0,Universitario,En curso,Lic Informática,No,HelpDesk,,,,,,,No,0,Neto,Full-Time,29000,Neto,2,1,No,No recibo bono,Uno,20,101-200,No,No cambié de empresa,"Snacks, golosinas, bebidas, Futbol"
Hombre,37 - 40,Chubut,5,5,No,0,Secundario,Completado,Tecnico electromecánico ,No,Designer,,,,,,,,,,Full-Time,17000,Neto,1,1,No,No recibo bono,No,0,10001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,31 - 33,Chubut,4,2,Sí,1,Posgrado,En curso,Comercio internacional ,"Sí, de forma particular",Developer,,R,,,,,No,0,Neto,Full-Time,16000,Neto,1,2,No,No recibo bono,Uno,18,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,34 - 36,Chubut,10+,8,No,0,Secundario,Incompleto,,No,Ninguno,,,,,,,,,,Full-Time,44000,Neto,2,2,No,No recibo bono,No,0,10001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Chubut,10+,Menos de un año,No,0,Terciario,Completado,Tecnico aduanero ,No,Developer,,HTML,,,,,No,0,Neto,Part-Time,23000,Neto,1,1,No,No recibo bono,No,0,1-10,Sí,Nos quedamos sin trabajo,Ninguna de las anteriores
Hombre,41 - 45,Chubut,8,8,No,0,Universitario,Completado,analista programador universitario,"Sí, los pagó un empleador",HelpDesk,,,,,,,No,0,Neto,Full-Time,45000,Neto,3,3,No,No recibo bono,Dos,10,201-500,No,No cambié de empresa,Ninguna de las anteriores
Hombre,41 - 45,Chubut,10+,10+,Sí,55,Terciario,Completado,Redes y Telecomunicaciones,"Sí, de forma particular",Networking,,,,,,,"Sí, pasiva",0,Neto,Full-Time,38000,Neto,2,2,No,No recibo bono,No,0,10001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Chubut,4,4,No,0,Universitario,Completado,Analista Programador Universitario,No,Developer,,PL/SQL,,,,,No,0,Bruto,Full-Time,29800,Neto,2,3,No,No recibo bono,Dos,20,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Chubut,1,Menos de un año,No,0,Universitario,En curso,Licenciatura en Informatica,"Sí, de forma particular",Developer,,".NET, C#, CSS, HTML, Javascript, jQuery",,,,,No,0,Neto,Tercerizado (trabajo a través de consultora o agencia),27000,Neto,4,3,No,No recibo bono,Dos,10,1-10,No,No cambié de empresa,Comidas pagas/subvencionadas
Hombre,37 - 40,Chubut,10+,9,No,0,Secundario,Completado,,No,HelpDesk,,,,,,,No,0,Neto,Full-Time,45000,Neto,3,2,No,No recibo bono,No,0,501-1000,No,No cambié de empresa,"Abono de celular y/o Internet, Laptop, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,34 - 36,Chubut,10+,10+,No,0,Secundario,Completado,administrativa,No,it,,,,,,,,,,Full-Time,20000,Neto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Chubut,5,3,No,0,Terciario,Completado,Tec Sup Análisis de Sistemas,No,Networking,,,,,,,No,0,Porcentaje de mi sueldo,Part-Time,10200,Bruto,2,2,No,No recibo bono,Uno,20,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,46 - 49,Chubut,10+,10+,No,0,Posgrado,Completado,Ingeniería en Informática,"Sí, de forma particular, Sí, los pagó un empleador",Storage / Backup,,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,65000,Neto,2,2,No,No recibo bono,Dos,25,1001-2000,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop"
Hombre,27 - 30,Chubut,3,Menos de un año,No,0,Universitario,En curso,Ingeniería en sistemas,No,Developer,,"Javascript, NodeJS, Ethereum virtual machine, solidity",,,,,No,0,Neto,Remoto (empresa de otro país),80000,Bruto,4,4,No,No recibo bono,No,0,11-50,Sí,Mejores beneficios,"Viáticos, WFH (Trabajar desde casa)"
Hombre,34 - 36,Chubut,10+,10+,No,0,Universitario,Completado,Analista Programador Universitario,"Sí, de forma particular",Developer,,"C, CSS, HTML, Java, Javascript, jQuery, PHP, Python, Ruby",,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,40000,Neto,2,1,No,No recibo bono,No,0,10001+,No,No cambié de empresa,Abono de celular y/o Internet
Mujer,31 - 33,Chubut,10+,2,No,0,Universitario,Completado,Lic en Ciencias de la Comunicacion,"Sí, de forma particular",PM,,,,,,,,,,Part-Time,12000,Neto,3,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,24 - 26,Chubut,1,1,No,0,Universitario,En curso,Analista programador,No,Developer,,"CSS, HTML, Java, Javascript",,,,,No,0,Porcentaje de mi sueldo,Part-Time,12000,Bruto,2,4,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Chubut,2,2,No,0,Primario,Completado,,No,repositor,,,,,,,,,,Tercerizado (trabajo a través de consultora o agencia),22000,Neto,3,2,No,No recibo bono,No,0,10001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Chubut,10+,4,No,0,Universitario,Completado,Lic. Analisis de Sistemas,"Sí, de forma particular",SysAdmin / DevOps,"Linux, Solaris, kvm","Python, Ruby",,,,,No,0,Neto,Full-Time,40000,Neto,3,2,No,No recibo bono,Uno,13,201-500,No,No cambié de empresa,Ninguna de las anteriores
Hombre,34 - 36,Chubut,10+,10+,Sí,1,Secundario,Incompleto,,No,Networking,,,,,,,"Sí, pasiva",5000,Neto,Part-Time,65000,Neto,4,3,No,No recibo bono,Uno,20,1001-2000,No,No cambié de empresa,Laptop
Mujer,41 - 45,Ciudad Autónoma de Buenos Aires,5,5,No,0,Doctorado,Incompleto,,"No, Sí, de forma particular, Sí, los pagó un empleador",Recruiter,,,,,,,,,,Freelance,100,Bruto,1,1,No,No recibo bono,No,0,1-10,Sí,No cambié de empresa,Abono de celular y/o Internet
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,4,Menos de un año,No,0,Universitario,En curso,Ingeniería en informática,No,Developer,,"Go, Java, Kotlin",,,,,No,0,Bruto,Part-Time,40000,Bruto,4,4,No,No recibo bono,No,0,11-50,Sí,Desafíos profesionales,"Horarios flexibles, Laptop, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,8,1,No,0,Universitario,En curso,Ingeniería Electrónica,"Sí, de forma particular",HelpDesk,,,,,,,No,0,Porcentaje de mi sueldo,Tercerizado (trabajo a través de consultora o agencia),15000,Neto,2,2,No,No recibo bono,Uno,8,10001+,No,No cambié de empresa,Laptop
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,2,1,Sí,5,Terciario,Completado,,No,Developer,,"CSS, HTML, Javascript, jQuery, NodeJS, Ruby",,,,,No,0,Porcentaje de mi sueldo,Full-Time,33000,Neto,4,4,No,No recibo bono,Dos,13,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, Viáticos, WFH (Trabajar desde casa)"
Hombre,46 - 49,Ciudad Autónoma de Buenos Aires,10+,7,No,0,Universitario,Completado,Analista de Sistema,"Sí, los pagó un empleador",DBA,,,,,,"Cassandra, MSSQL, MySQL/MariaDB, Oracle","Sí, activa",0,Bruto,Full-Time,70000,Bruto,3,2,Un sueldo,Performance grupal,Dos,30,1001-2000,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Comidas pagas/subvencionadas, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,9,Menos de un año,No,0,Universitario,Incompleto,Ingenieria en sistemas,"Sí, de forma particular",Developer,,Javascript,,,,,No,0,Bruto,Full-Time,105000,Neto,4,4,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Abono de celular y/o Internet, Viajes al exterior, WFH (Trabajar desde casa)"
